County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Rågvete,20100,14700,17600,23600,24400,12400,11300,22000,17300,21300,.,.,.,.,.,.,16200,15600
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,18200,20300,13500,6900,17800,20400,15800,15300
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,2200,3700,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,92900,159300,179100,131500,153600
,Ärter,2700,2500,3300,3100,3500,2100,2500,3200,2500,3200,2600,3200,2000,1500,2000,2400,2400,2400
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,4400,5600,8200,9300,12000,11300,10500,16500,15100,14700,18100,13900,15100,11800,7700,10000,10100,12800
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,4600,8400,9100,6100,7100,13100,15700,12500,15400,20000,15700,7100
,Majs till grönfoder,..,..,..,..,.,.,23500,30300,34300,36700,29400,41300,50000,29800,50100,57700,61900,43000
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,25900,..,25600,21200,24700,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,13400,11400,14600,13700,13700,14200,..,..,14000,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,24900,30700,31900,28700,25500,31000,26700,27800,29800,30000,31800,38400,28600,35800,38700,40400,34400
,Sockerbetor,67000,57000,36100,12700,13600,11900,12500,8500,11200,5300,4500,5700,..,..,..,..,..,..
,"Slåttervall, första skörd",165200,160400,182400,133800,177700,183400,138900,197500,203200,129600,161300,196400,168400,154400,215600,213600,200700,187800
,"Slåttervall, återväxt",76100,77600,121300,104000,118500,145200,185300,119000,117400,126600,121700,126100,193100,72800,96500,157200,122000,58800
,"Slåttervall, total vallskörd",241200,238000,303800,237800,296200,328600,324200,316500,320600,256200,283000,322500,361600,227300,312100,370800,322800,246700
09 Gotlands län,Höstvete,33800,24900,28300,34300,35100,27200,38800,58900,35000,59400,69200,73200,72500,24900,79000,81800,64200,86700
,Vårvete,9800,6700,6800,8800,9200,11100,14900,17600,19200,15900,18400,20000,21400,11900,14400,15600,8700,9500
,Råg,3100,..,..,3200,4700,..,3100,4800,..,3100,3200,..,3800,..,5300,6000,3600,4400
,Höstkorn,3900,3900,6200,10700,17700,10100,7200,12800,14600,17200,20500,22800,24400,7700,21500,22600,14200,18400
,Vårkorn,56200,42100,55300,58400,57700,44500,48300,67000,66900,50700,59700,45400,42800,21100,34300,42900,24700,33100
,Havre,7800,5200,5500,6300,5600,3500,4700,6400,5300,4600,4000,4100,2700,1500,4600,5400,2400,3000
,Rågvete,17200,13500,15600,24000,25300,9400,6200,17000,11500,16600,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,15900,6200,4600,..,4600,6000,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,70700,164700,181400,121700,157900
,Ärter,3500,2200,2500,2200,3600,3800,3700,4500,4900,4500,9300,10600,8800,3700,6200,7700,6400,7400
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,3400,3800,6900,9600,12000,10300,9300,17300,13200,13500,17500,13400,15400,5500,9400,8200,8100,14100
,Vårraps,1600,1500,1600,1600,1900,1400,2900,3600,3300,1500,1500,900,..,1500,..,..,1400,3200
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,7200,4300,6100,5100,..
,Majs till grönfoder,..,..,..,..,.,.,20600,25300,23600,25200,22700,22600,22400,18300,36900,30200,38400,31100
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,21300,19900,26300,26700,27900,26100,25200,27800,25900,27700,26700,31500,28300,21300,29000,27800,28800,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,115100,80600,2000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",80400,75000,92500,98500,105400,129900,81200,115000,94900,126300,118700,110300,102000,87600,94400,83200,101700,122300
,"Slåttervall, återväxt",45200,29200,53400,81300,71300,89600,79100,89300,52200,88600,51100,70100,63900,61000,42200,46000,61400,40300
