County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Höstrybs,..,..,..,..,..,10,10,10,..,10,10,20,10,..,..,..,..,..
,Vårrybs,40,50,..,10,..,..,20,10,20,10,30,30,20,10,20,..,40,40
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,1370,1880,1090,1390,1070,1310,1430,3660,2190,1420,1800,1060
,Majs till grönfoder,..,..,..,..,.,.,50,80,40,50,70,40,60,50,130,..,100,180
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,870,880,1030,1320,950,710,1010,1070,1230,..,1040,1010
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,130,120,130,110,100,90,70,70,50,50,50,50,60,50,50,70,90,70
,Potatis för stärkelse,20,10,10,10,10,10,10,10,10,0,0,10,10,10,0,10,0,..
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",31180,..,30710,27520,..,32360,31970,31920,32050,28200,30310,29340,30550,29030,28720,29680,29840,30150
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,29680,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,29680,.,.
08 Kalmar län,Höstvete,10220,10240,9700,11090,10740,11360,11010,10790,10730,11960,11950,14290,12870,11170,13090,13420,13070,12930
,Vårvete,960,680,960,1000,1060,1120,1400,1880,1520,1750,1530,1340,1250,1280,930,710,880,890
,Råg,350,270,360,760,780,680,410,520,570,520,480,470,500,520,670,760,680,810
,Höstkorn,1260,1270,1920,2330,3480,3390,2540,1870,2530,2610,2860,2890,2600,2140,2060,2370,2660,2810
,Vårkorn,14460,12450,12030,11690,9890,8660,9700,10050,9270,9210,9350,8100,7610,7740,7090,6600,6220,6990
,Havre,4420,3970,4630,4160,3560,3180,3210,3290,2820,2880,2660,2900,2550,1440,1580,1520,1620,1610
,Rågvete,4470,4110,4030,4570,5010,3260,2710,3570,3490,3920,.,.,.,.,.,.,3710,3230
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,3220,3330,2700,1980,3140,3450,3630,3150
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,320,280,250,60,80,..,80,80
,Blandsäd,1040,970,1070,990,1080,1150,1310,660,900,720,640,250,630,240,410,..,170,840
,Majs,..,..,170,150,150,..,120,140,150,180,180,210,210,40,220,..,300,270
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,26600,29270,29550,29300,30380
,Ärter,970,1030,1050,890,960,890,780,760,700,820,700,780,530,650,570,660,840,790
,Åkerbönor,10,0,..,..,40,80,170,140,210,260,320,290,380,100,160,..,370,400
,Höstraps,1600,1840,2540,2820,3210,3690,3260,3690,4050,3840,4280,4010,4700,3990,2670,2800,3310,4100
