,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation
13508,2010,Töreboda,crop_yield_total,SPEI12,5.742847854356307,0.6639724194437907,Linear,-4.186010279601802,-2.6850866971117435,2
13509,2011,Töreboda,crop_yield_total,SPEI12,5.217391304347826,1.1714763268110078,Linear,-14.37412506707028,-5.2814448189956815,2
13510,2012,Töreboda,crop_yield_total,SPEI12,5.977096416697451,1.0370130627208085,Linear,-3.4821405467343864,-4.815261607379101,2
13511,2013,Töreboda,crop_yield_total,SPEI12,5.820547031354236,1.9041437985610608,Linear,-7.496290448810247,-4.009230688062375,2
13512,2014,Töreboda,crop_yield_total,SPEI12,6.827033218785796,-0.2007043512654027,Linear,6.810485286240266,5.111707456864903,2
13513,2015,Töreboda,crop_yield_total,SPEI12,7.350720658888126,0.8266476637846316,Linear,13.240965140360872,-3.7502408527225626,2
13514,2016,Töreboda,crop_yield_total,SPEI12,6.062900407687828,0.7868292408195311,Linear,-8.008459590655061,-3.507434869591763,2
13515,2017,Töreboda,crop_yield_total,SPEI12,7.604765817584224,-1.092817580982863,Linear,13.670062933291296,13.089160646243574,2
13516,2018,Töreboda,crop_yield_total,SPEI12,5.432323232323232,0.8156981505097153,Linear,-19.99175946856777,-3.6846912635790003,2
13517,2019,Töreboda,crop_yield_total,SPEI12,7.985181333679969,-1.7294645157278925,Linear,15.908698107587082,15.772111820095706,2
13518,2020,Töreboda,crop_yield_total,SPEI12,6.99360341151386,0.9599964813090168,Linear,0.0702458668286402,-4.470106187703,2
13519,2021,Töreboda,crop_yield_total,SPEI12,6.603288797533402,0.4541164833046308,Linear,-6.840958903441227,-1.0578648772495045,2
13520,2022,Töreboda,crop_yield_total,SPEI12,7.578765645230902,0.0919526607863867,Linear,5.441002075649328,2.227191150678717,2
13521,2005,Uddevalla,crop_yield_total,SPEI12,6.270670975099791,1.1663790082270895,Linear,14.089510953079728,-3.3927815865261044,2
13522,2006,Uddevalla,crop_yield_total,SPEI12,5.982142857142857,-0.1934972964133563,Linear,6.904774141551876,6.00250231047752,2
13523,2007,Uddevalla,crop_yield_total,SPEI12,5.937607130613644,1.731605657032765,Linear,4.255197270206891,-1.5151359313912582,2
13524,2008,Uddevalla,crop_yield_total,SPEI12,5.535033125878337,1.5630992750686912,Linear,-4.482053085093608,-2.5975281107913055,2
13525,2009,Uddevalla,crop_yield_total,SPEI12,5.233690360272639,1.064763515016104,Linear,-11.20687761415494,-3.248714667453979,2
13526,2010,Uddevalla,crop_yield_total,SPEI12,5.742847854356307,0.6864791108881808,Linear,-4.186010279601802,-1.6924758176012187,2
13527,2011,Uddevalla,crop_yield_total,SPEI12,5.217391304347826,0.6905641575421785,Linear,-14.37412506707028,-1.7168329702385803,2
13528,2012,Uddevalla,crop_yield_total,SPEI12,5.977096416697451,1.4592140819491592,Linear,-3.4821405467343864,-3.0317934105390822,2
13529,2013,Uddevalla,crop_yield_total,SPEI12,5.820547031354236,1.7169537810522912,Linear,-7.496290448810247,-1.6286438708210387,2
13530,2014,Uddevalla,crop_yield_total,SPEI12,6.827033218785796,0.103942365342837,Linear,6.810485286240266,3.001138052917196,2
13531,2015,Uddevalla,crop_yield_total,SPEI12,7.350720658888126,1.5725148319660678,Linear,13.240965140360872,-2.5496254178959283,2
13532,2016,Uddevalla,crop_yield_total,SPEI12,6.062900407687828,1.0862587457353614,Linear,-8.008459590655061,-3.2898467719530418,2
13533,2017,Uddevalla,crop_yield_total,SPEI12,7.604765817584224,-0.6112472521359301,Linear,13.670062933291296,10.35571403749853,2
13534,2018,Uddevalla,crop_yield_total,SPEI12,5.432323232323232,1.5042765279284882,Linear,-19.99175946856777,-2.864391773756539,2
13535,2019,Uddevalla,crop_yield_total,SPEI12,7.985181333679969,-1.0879112603349328,Linear,15.908698107587082,14.795366455230237,2
13536,2020,Uddevalla,crop_yield_total,SPEI12,6.99360341151386,1.488991179977558,Linear,0.0702458668286402,-2.924727784824814,2
13537,2021,Uddevalla,crop_yield_total,SPEI12,6.603288797533402,1.4059812658005757,Linear,-6.840958903441227,-3.1893228061603613,2
13538,2022,Uddevalla,crop_yield_total,SPEI12,7.578765645230902,0.4679612302677433,Linear,5.441002075649328,-0.19063317602020735,2
13539,2005,Ulricehamn,crop_yield_total,SPEI12,6.270670975099791,1.4224412849860506,Linear,14.089510953079728,-2.134604527815347,2
13540,2006,Ulricehamn,crop_yield_total,SPEI12,5.982142857142857,-0.8293410877142332,Linear,6.904774141551876,8.621536853456366,2
13541,2007,Ulricehamn,crop_yield_total,SPEI12,5.937607130613644,1.7213974900655475,Linear,4.255197270206891,2.7270005828785275,2
13542,2008,Ulricehamn,crop_yield_total,SPEI12,5.535033125878337,1.644640603565912,Linear,-4.482053085093608,1.2500296991592985,2
13543,2009,Ulricehamn,crop_yield_total,SPEI12,5.233690360272639,0.8282435140631699,Linear,-11.20687761415494,-5.583686302889636,2
13544,2010,Ulricehamn,crop_yield_total,SPEI12,5.742847854356307,0.1622369895185724,Linear,-4.186010279601802,-2.3545082990495874,2
13545,2011,Ulricehamn,crop_yield_total,SPEI12,5.217391304347826,0.8346248190724347,Linear,-14.37412506707028,-5.583619905723078,2
13546,2012,Ulricehamn,crop_yield_total,SPEI12,5.977096416697451,1.5503662897856494,Linear,-3.4821405467343864,-0.34344690395738786,2
13547,2013,Ulricehamn,crop_yield_total,SPEI12,5.820547031354236,1.2647441948412776,Linear,-7.496290448810247,-3.790295359963626,2
13548,2014,Ulricehamn,crop_yield_total,SPEI12,6.827033218785796,-0.7393834530398329,Linear,6.810485286240266,7.586806739254317,2
13549,2015,Ulricehamn,crop_yield_total,SPEI12,7.350720658888126,1.1207607286913892,Linear,13.240965140360872,-4.808313276459969,2
13550,2016,Ulricehamn,crop_yield_total,SPEI12,6.062900407687828,0.5491321835155362,Linear,-8.008459590655061,-4.946399528927008,2
13551,2017,Ulricehamn,crop_yield_total,SPEI12,7.604765817584224,-1.1006955111671155,Linear,13.670062933291296,11.531386526388445,2
13552,2018,Ulricehamn,crop_yield_total,SPEI12,5.432323232323232,1.237160232667108,Linear,-19.99175946856777,-4.020575073792247,2
13553,2019,Ulricehamn,crop_yield_total,SPEI12,7.985181333679969,-2.006993424594468,Linear,15.908698107587082,16.12463686200034,2
13554,2020,Ulricehamn,crop_yield_total,SPEI12,6.99360341151386,0.9161169935096162,Linear,0.0702458668286402,-5.519753825153808,2
13555,2021,Ulricehamn,crop_yield_total,SPEI12,6.603288797533402,0.8294072779726961,Linear,-6.840958903441227,-5.5837265295221075,2
13556,2022,Ulricehamn,crop_yield_total,SPEI12,7.578765645230902,0.2208314819285342,Linear,5.441002075649328,-2.8502009592168593,2
13557,2005,Vara,crop_yield_total,SPEI12,6.270670975099791,0.6567521987461686,Linear,14.089510953079728,-4.870225930400137,2
13558,2006,Vara,crop_yield_total,SPEI12,5.982142857142857,-0.894710081431975,Linear,6.904774141551876,6.390660258686607,2
13559,2007,Vara,crop_yield_total,SPEI12,5.937607130613644,1.7311964970652025,Linear,4.255197270206891,1.9864688982964245,2
13560,2008,Vara,crop_yield_total,SPEI12,5.535033125878337,1.1580163168045965,Linear,-4.482053085093608,-3.9140767430461834,2
13561,2009,Vara,crop_yield_total,SPEI12,5.233690360272639,0.4170479406975886,Linear,-11.20687761415494,-4.2379827719813665,2
