,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
90820,2005,Tyresö,hydro_prod,HWI,951.0,1.7930656102317704,Linear,-15.252275100701334,5.657035334795134,10,2
90821,2006,Tyresö,hydro_prod,HWI,1266.0,2.460590307747565,Linear,13.511696046880148,0.9121910467818338,10,2
90822,2007,Tyresö,hydro_prod,HWI,1033.0,0.3224215763946039,Linear,-6.8070650258665655,3.463491256641488,10,2
90823,2008,Tyresö,hydro_prod,HWI,1327.0,1.9073303740285537,Linear,20.46085451797069,5.099089896396892,10,2
90824,2011,Tyresö,hydro_prod,HWI,872.0,0.8945807260113301,Linear,-19.33778088872628,6.384501827194587,10,2
90825,2012,Tyresö,hydro_prod,HWI,1744.0,1.727547132324006,Linear,62.35324431367167,5.929581271109566,10,2
90826,2013,Tyresö,hydro_prod,HWI,794.0,2.538165755046866,Linear,-25.610187108013022,0.1282992470019323,10,2
90827,2014,Tyresö,hydro_prod,HWI,838.2857142857143,3.924508745092499,Linear,-20.953728025863537,-22.043131998975813,10,2
90828,2015,Tyresö,hydro_prod,HWI,882.5714285714286,1.956666891400845,Linear,-16.23671973476535,4.825720262413242,10,2
90829,2016,Tyresö,hydro_prod,HWI,926.8571428571428,0.1257300165157724,Linear,-11.457973499144606,1.85110366412643,10,2
90830,2017,Tyresö,hydro_prod,HWI,971.1428571428572,2.710888928249449,Linear,-6.616269261231272,-1.7909301186914326,10,2
90831,2018,Tyresö,hydro_prod,HWI,1015.4285714285714,2.9257038016684414,Linear,-1.710354602573518,-4.512690804538254,10,2
90832,2019,Tyresö,hydro_prod,HWI,1059.7142857142858,2.370209113727058,Linear,3.26105633603727,1.7644294384801236,10,2
90833,2020,Tyresö,hydro_prod,HWI,1104.0,2.3636720712552632,Linear,8.299283978191557,1.8235215193019045,10,2
90834,2021,Tyresö,hydro_prod,HWI,1389.0,1.2555487641165275,Linear,37.17883431322673,6.872611015299945,10,2
90835,2022,Tyresö,hydro_prod,HWI,794.0,3.645165663830144,Linear,-21.049734547843165,-16.331941146088216,10,2
90836,2012,Uddevalla,hydro_prod,HWI,1921.0,0.3706256350421028,Linear,-47.20417749350455,-7.592516143261369,10,3
90837,2013,Uddevalla,hydro_prod,HWI,3842.0,2.4631512495853314,Linear,2.12949000502436,11.415046733829385,10,3
90838,2014,Uddevalla,hydro_prod,HWI,5763.0,2.741885199811037,Linear,48.330743888282576,13.576342930814867,10,3
90839,2015,Uddevalla,hydro_prod,HWI,4983.0,0.6268070938055885,Linear,24.30830218803206,-6.886326165822899,10,3
90840,2016,Uddevalla,hydro_prod,HWI,4397.0,-0.3966453365520941,Linear,6.415232161084712,-2.748502889786787,10,3
90841,2017,Uddevalla,hydro_prod,HWI,3609.0,1.821818171273442,Linear,-15.187574773544302,4.489409448202896,10,3
90842,2018,Uddevalla,hydro_prod,HWI,3626.0,4.888231755487463,Linear,-17.188486197389746,-17.23744989124867,10,3
90843,2019,Uddevalla,hydro_prod,HWI,3621.0,0.7359838489586173,Linear,-19.56843074537305,-6.317446155899084,10,3
90844,2020,Uddevalla,hydro_prod,HWI,5161.0,1.1613070497825302,Linear,11.581732129937889,-2.914740169199682,10,3
90845,2021,Uddevalla,hydro_prod,HWI,5583.0,1.4341654030508375,Linear,17.57014427052816,-0.028837206549742866,10,3
90846,2022,Uddevalla,hydro_prod,HWI,4302.0,2.767052615788416,Linear,-11.699507389164143,13.732485778953908,10,3
90847,2005,Umeå,hydro_prod,HWI,2688812.0,3.1985702318158227,Linear,30.21632492622076,-0.0735776534913753,10,1
90848,2006,Umeå,hydro_prod,HWI,1972129.0,1.8182220097574828,Linear,-5.662657332965287,-0.017385413842972132,10,1
90849,2007,Umeå,hydro_prod,HWI,2562398.0,2.015786194683675,Linear,21.08866606683689,-0.025428003276499016,10,1
90850,2008,Umeå,hydro_prod,HWI,436796.0,1.3664213982993618,Linear,-79.6057450209229,0.0010068206864369406,10,1
